id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31301451,Altbau Zimmer Berlin,44603754,Juliana,Mitte,Moabit Ost,52.533201759723894,13.351278975316333,Private room,30,3,0,,,1,23
31302004,Berlin-Mitte Nr 1 - Nähe Rosenthaler Platz,234280081,Irene,Mitte,Brunnenstr. Süd,52.53676330253677,13.404953431917992,Private room,50,2,0,,,2,233
31302783,Comfortable room near Warschauer Straße!!,9422405,Anouk,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50220246747311,13.453758825868082,Private room,30,10,0,,,1,29
31303573,Unique design Loft in Berlin-Mitte,52873071,Andreas,Mitte,Moabit Ost,52.53088175869004,13.364917545029682,Entire home/apt,79,2,1,2019-01-06,1,1,12
31303711,Cozy room for two in well located WG in Tempelhof,94656691,Javier,Tempelhof - Schöneberg,Tempelhof,52.45890948882494,13.384405126786525,Private room,18,3,1,2019-01-09,1,1,199
31303934,Beautiful apartment in stylish Prenzlauer Berg,125103048,Rachel Eunyoung,Pankow,Prenzlauer Berg Nordwest,52.548475978568746,13.410947453373437,Entire home/apt,85,4,0,,,1,12
31304007,Charming cosy room in front of a park,9402808,Gintare,Mitte,Wedding Zentrum,52.551991698335684,13.372554376930493,Private room,30,3,0,,,1,71
31304420,Schöne Altbau Wohnung mit Flair,234127376,NuKe,Mitte,Parkviertel,52.55604617988542,13.345432556657531,Private room,30,1,0,,,1,49
31306302,Nice quiet room for two people with balcony,114522128,Katja,Lichtenberg,Neu Lichtenberg,52.5038902508885,13.489334768430517,Private room,30,2,0,,,2,214
31306719,East Side Gallery City View Apartment,1563406,Martin,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.5053254652536,13.4373931288659,Entire home/apt,120,4,0,,,3,321
31306907,WG Zimmer in Moabit,90926126,Max,Mitte,Moabit Ost,52.53565752671656,13.358550701093728,Private room,30,10,0,,,1,22
31307449,"schöne Altbau- Wohnung mit Balkon, S-Bahn S1, S25",234325646,Ernst,Pankow,Pankow Zentrum,52.56717963274166,13.394751394315044,Entire home/apt,54,20,1,2019-01-06,1,1,34
31308546,"Ruhige, gemütliche Wohnung unweit Simon-Dach-Kiez",229513605,Anna-Teresa,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.519173126968575,13.457020846661944,Entire home/apt,60,3,0,,,1,40
31312039,Berlin-Mitte Nr 2 - Nähe Rosenthaler Platz,234280081,Irene,Mitte,Brunnenstr. Süd,52.53583431049225,13.402717544896218,Private room,50,2,0,,,2,76
31312797,Zimmer mit Spree Blick / Room with river view,6445264,Patrick,Treptow - Köpenick,Oberschöneweide,52.464548933018605,13.505073041597855,Private room,40,1,0,,,1,174
31312798,Balkonzimmer - grün und zentral - fast Kreuzberg,234360849,Gudrun,Treptow - Köpenick,Alt  Treptow,52.49390713884098,13.456202190500592,Private room,60,2,0,,,1,97
31313803,Large studio bedroom in Prenzlauer Berg,67746610,Sami,Pankow,Helmholtzplatz,52.544979337536375,13.417693272542168,Private room,33,2,0,,,3,0
31315038,Villa Pinguin has vacancie for you :),45258573,Riccardo,Tempelhof - Schöneberg,Friedenau,52.47562489765563,13.32972841703079,Private room,60,3,0,,,1,16
31315082,Big room for singles/couples in Moabit.,234393112,Sven,Mitte,Moabit West,52.52511287587136,13.31626101126524,Entire home/apt,35,1,0,,,1,49
31315673,Tranquilidad y seguridad para tu estadía En Berlin,233922274,Carlos,Neukölln,Neuköllner Mitte/Zentrum,52.46710896934998,13.43750478344692,Shared room,11,90,0,,,1,348
31318314,"Schönes, helles, großes Zimmer in Berlin-Mitte",14499652,Delia,Mitte,Moabit West,52.53157942552199,13.329688784299078,Private room,40,1,0,,,1,318
31322068,townhouse in the center of Berlin with garden,16452363,Susanne,Lichtenberg,Rummelsburger Bucht,52.49483945488894,13.484015096711625,Entire home/apt,280,6,0,,,1,78
31322611,"Big & Modern Apt, New Building near Kudam",3720167,Yizhak,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49676289040384,13.315228129705698,Entire home/apt,79,3,0,,,1,275
31322837,Berliner Wohnung (22.03.19-30.03.19),203472573,Katrin,Marzahn - Hellersdorf,Marzahn-Mitte,52.54706894450121,13.565451346830105,Entire home/apt,35,5,0,,,2,19
31322957,KREUZBERG TOP ROOM,31414778,Janina,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49940069432485,13.44162120325046,Private room,45,1,0,,,1,364
31324995,*Cozy furnished Room in Friedrichshain*,233856120,Saphir,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51539279360831,13.465715489145618,Private room,13,30,0,,,1,365
31325102,Cozy and bright 20 sqm room with balcony,66545482,Alexander,Mitte,Wedding Zentrum,52.54362402024548,13.357309587131482,Private room,35,1,0,,,1,30
31326310,Haus an der Havel in Berlin,144009030,Hukmat,Spandau,Gatow / Kladow,52.49092900455143,13.181079277630737,Entire home/apt,150,1,0,,,1,146
31327820,nanoLOFT x Friedrichshain,5836117,Guy,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5201266007025,13.45453769732621,Entire home/apt,85,2,0,,,3,232
31328952,"Modernes Appartment in Berlin ""Casa Emilian""",147056283,Alexandra,Pankow,Pankow Zentrum,52.56257723622394,13.398659602285193,Entire home/apt,59,60,0,,,1,364
31329399,Coole Altbauwohnung in Neukölln in perfekter Lage,12503130,Florian,Neukölln,Rixdorf,52.471534978240896,13.442564142328274,Entire home/apt,80,2,0,,,2,10
31330038,Private & Cozy Apartment in Neukölln-Schillerkiez,234532633,Buchu,Neukölln,Schillerpromenade,52.4777215682624,13.421722949099077,Entire home/apt,50,3,0,,,1,95
31330782,"Cosy Room, Nice Flat, Great Location!",56845301,Selin,Mitte,Parkviertel,52.54928657409695,13.34928283293376,Private room,24,2,0,,,1,15
31331313,Artistic Private Room in Central Berlin WG,109501618,Tatianna,Neukölln,Reuterstraße,52.494220962757744,13.423955131326162,Private room,30,4,0,,,1,113
31331769,Landhaus im Süden von Berlin,234547810,Alexander,Tempelhof - Schöneberg,Lichtenrade,52.37849132014901,13.40298114408568,Entire home/apt,90,5,0,,,1,84
31332529,Wohnung im Herzen des Prenzlauer Bergs,20319897,Aida,Pankow,Prenzlauer Berg Süd,52.53615258678214,13.426608068497975,Entire home/apt,65,2,0,,,1,72
31333881,"Beautiful, Central and cosy flat:)",91865670,Linda,Tempelhof - Schöneberg,Schöneberg-Süd,52.48164116518501,13.358614703884749,Entire home/apt,74,14,0,,,1,15
31334427,Waterfront Penthouse Apartment with Roof Terrace,5596603,Christin,Mitte,Alexanderplatz,52.50999246761488,13.42540207434278,Entire home/apt,130,2,0,,,2,32
31334553,Charming room at Helmholtzplatz,234578236,Sarah,Pankow,Helmholtzplatz,52.542069876557164,13.419512508933757,Private room,24,65,0,,,1,76
31335479,Best Position Berlins,234149585,Mario,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49031480877047,13.386257297155332,Entire home/apt,119,1,0,,,2,355
31337717,"Cosy, bright, super central flat in Kreuzberg",234610873,Melanie,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50209995109652,13.441886868755956,Entire home/apt,60,7,0,,,1,11
31340113,Cozy Room in PBerg - 15 min to Alexanderplatz,110171661,Niko,Pankow,Prenzlauer Berg Nord,52.552934689894826,13.418112635514957,Private room,25,3,0,,,1,15
31344020,Helle 2-Zimmer-Altbauwohnung in Schöneberg,43010025,Alexandra,Tempelhof - Schöneberg,Friedenau,52.47759928512551,13.34573285869366,Entire home/apt,55,2,0,,,1,19
31344922,"Gemütlich, groß und zentral gelegen!",160954303,Johanna,Pankow,Prenzlauer Berg Süd,52.53132156222872,13.433249017687915,Entire home/apt,70,3,0,,,1,8
31345045,Quiet loft countryside - ideal fair accommodation,234685653,Lotte,Steglitz - Zehlendorf,Zehlendorf  Südwest,52.429251018285285,13.198510062806703,Entire home/apt,100,2,0,,,1,20
31345124,lively Mitte/Prenzl Brg/Rosenthaler Plz/quiet loft,2217,Ian,Mitte,Brunnenstr. Süd,52.53423259667959,13.398445857230028,Entire home/apt,48,6,0,,,5,286
31345661,Schönes Zimmer in 3 Zimmer-Wohnung,11511565,Monika,Charlottenburg-Wilm.,Neue Kantstraße,52.50932957575639,13.299822348433246,Private room,40,2,0,,,1,73
